Nitrogen,Phosphorus,Potassium,temperature,humidity,ph,rainfall,label
107.48,49.54,52.16,28.77,84.61,5.96,276.32,Rice
108.84,48.44,51.81,27.11,84.22,6.04,218.11,Rice
96.38,48.13,46.62,27.76,83.49,5.76,274.43,Rice
103.87,50.23,45.25,27.05,85.18,5.81,256.26,Rice
102.0,49.03,47.99,29.04,84.98,5.82,263.71,Rice
98.9,50.7,43.47,26.39,85.33,6.12,252.86,Rice
104.42,49.0,45.07,26.9,84.23,6.18,255.73,Rice
96.18,51.08,48.72,26.94,86.02,6.17,265.52,Rice
100.8,48.97,51.1,28.31,84.2,5.97,231.56,Rice
99.02,52.71,54.52,27.44,86.67,6.06,239.25,Rice
106.81,55.13,49.88,28.8,80.63,6.14,251.45,Rice
103.5,50.31,43.37,27.32,85.6,6.25,241.36,Rice
100.96,48.33,53.05,27.77,84.12,6.09,251.62,Rice
109.84,47.66,48.91,27.17,82.56,6.05,254.35,Rice
105.03,49.22,45.28,27.15,84.43,5.87,247.31,Rice
107.02,56.29,50.58,27.71,84.88,5.68,249.56,Rice
105.3,58.21,49.36,27.75,84.94,5.81,269.05,Rice
108.76,52.64,46.97,28.67,82.66,6.1,286.51,Rice
100.05,48.11,50.33,27.08,82.42,6.01,232.29,Rice
107.37,46.94,55.17,26.85,84.46,6.14,229.49,Rice
106.14,54.36,44.64,27.65,85.43,6.13,229.38,Rice
98.4,51.74,50.99,27.71,85.58,5.89,253.87,Rice
106.47,47.62,56.22,27.89,83.01,6.11,233.76,Rice
108.94,53.86,47.26,28.3,85.69,6.14,281.61,Rice
103.77,47.49,47.03,26.82,84.87,6.06,254.61,Rice
109.14,50.04,54.85,27.28,89.53,6.1,235.71,Rice
99.65,51.61,49.26,28.1,85.79,5.99,235.89,Rice
97.43,48.51,52.85,27.68,82.92,6.03,256.42,Rice
100.58,50.51,50.19,26.55,85.6,6.09,268.05,Rice
110.27,45.41,46.87,27.93,85.86,6.09,300.0,Rice
107.85,53.79,53.18,28.04,84.47,6.13,237.12,Rice
103.82,48.38,50.27,29.43,81.89,6.11,223.12,Rice
102.64,53.63,50.21,26.6,83.81,6.11,237.83,Rice
106.08,50.15,47.83,29.29,86.06,5.66,253.11,Rice
101.69,52.84,47.36,27.4,85.84,6.14,230.0,Rice
103.33,48.42,47.82,28.97,85.67,5.79,265.3,Rice
115.61,53.44,44.94,27.1,87.11,5.88,257.4,Rice
108.87,46.91,49.8,25.0,83.29,5.96,229.2,Rice
113.16,45.23,48.53,27.61,87.4,5.76,269.39,Rice
105.05,46.73,51.54,27.67,84.0,6.01,243.58,Rice
105.57,52.21,55.29,26.47,88.56,5.67,247.47,Rice
107.94,50.94,47.92,27.33,84.18,5.9,264.16,Rice
106.79,47.69,53.0,27.76,86.35,6.1,236.18,Rice
102.2,52.49,52.03,27.48,85.2,6.21,240.14,Rice
107.74,49.33,49.27,28.42,86.38,6.14,271.76,Rice
105.11,52.27,48.97,27.77,84.78,6.02,259.92,Rice
100.91,56.97,46.65,26.49,86.93,6.13,260.4,Rice
108.14,49.96,47.01,27.56,83.87,6.16,247.55,Rice
100.87,48.93,51.38,27.03,83.63,6.04,254.08,Rice
102.47,48.43,50.77,26.29,82.65,5.88,246.44,Rice
